469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
559400,Last Minute June Sale! 6/1-6/22 -  1 house to beach with rooftop ocean views!,33.7552346,-118.1346694,"Belmont Shore, Long Beach, CA, USA",28,4.9,350,,,,,,2,6,3,2,house,Yes,2008,Within an hour,,"June 9, 2017",house,,2154,6,,Long Beach,CA
662534,"Beachfront, Belmont Shore, Great Views, Walk to Restaurants, Near Disneyland",33.75930746,-118.14748364,"Belmont Shore, Long Beach, CA, USA",9,4.3,117,,,,100,,30,4,2,1,condo,Yes,2014,Within a day,90%,"May 11, 2017",condo,2,1000,4,building,Long Beach,CA
479860,Beachfront with Wide Open Beach and Harbor Views,33.764847,-118.1759631,"Alamitos Beach, Long Beach, CA, USA",26,4.8,253,295,,,150,,3,4,2,2,condo,Yes,2006,Within a day,90%,"June 8, 2017",condo,3,950,4,,Long Beach,CA
787656,"Relaxing Water View Condo- It's not just a vacation rental, it's an EXPERIENCE!",33.7601786,-118.117755,"Marina Pacifica, Long Beach, CA, USA",2,4.5,110,,,,150,,30,2,1,1,condo,Yes,2015,Within a day,90%,"June 8, 2017",condo,2,1250,2,building,Long Beach,CA
272074,Bungalow Style Beach House,33.76819611,-118.1548996,"Bluff Heights, Long Beach, CA, USA",81,4.6,155,155,,,,7.0%,2,7,3,1,house,Yes,2009,Within a few hours,100%,"June 8, 2017",house,,,7,,Long Beach,CA
93542,Casa Blanca Oceanfront Duplex Belmont Shore,33.75992203,-118.14878082,"Belmont Shore, Long Beach, CA, USA",32,4.6,408,350,,,175,,3,15,3,2,apartment,Yes,2006,Within an hour,100%,"May 24, 2017",apartment,3,1750,15,,Long Beach,CA
736303,Gorgeous Belmont Beach house two blocks to the beach!,33.7571593,-118.1322673,"Belmont Shore, Long Beach, CA, USA",9,,147,,,,120,,30,5,2,2,house,Yes,2015,Within an hour,100%,"June 3, 2017",house,,1250,5,,Long Beach,CA
3479130ha,"Modern Beach House, Ocean Views, Steps to the Beach, Bay and Shops, Pet Friendly",33.754487,-118.1336101,"Belmont Shore, Long Beach, CA, USA",9,4.8,350,350,395,,220,,3,6,3,2,house,Yes,2013,Within a few hours,100%,"June 8, 2017",house,,1700,6,,Long Beach,CA
766231,Waterfront So Cal Home Perfect for Your Next Vacation,,,"Naples Island, Long Beach, CA, USA",1,,429,450,,,,,3,6,2,2,house,Yes,2015,Within 2 days,100%,"June 7, 2017",house,,1700,6,,Long Beach,CA
3848099ha,LUXURY CONDO WITH OCEAN VIEW 2BR/2BA,33.76605,-118.187095,"Waterfront, Long Beach, CA, USA",21,4.9,195,195,245,,70,12.0%,3,6,2,2,condo,Yes,2014,Within a few days,100%,"June 9, 2017",condo,,1200,6,building,Long Beach,CA
876245,"Charming, Luxurious Cottage with Outdoor Living near Beach, LA , & Orange County",33.7707485,-118.1478863,"Belmont Heights, Long Beach, CA, USA",6,,217,240,,,150,12.0%,3,5,2,1,cottage,Yes,2016,Within 12 hours,100%,"May 9, 2017",cottage,,1006,5,,Long Beach,CA
845846,"Belmont Shore Beach Bungalow  - Steps To The Beach, Bay, Shopping And Nightlife",33.7587195,-118.1356656,"Belmont Shore, Long Beach, CA, USA",16,4.9,277,288,318,,148,11.0%,2,6,2,1,house,Yes,2016,Within 12 hours,100%,"June 8, 2017",house,,1050,6,,Long Beach,CA
561169,High Rise Ocean Condo   Long Beach Ca,33.765636,-118.182081,"Alamitos Beach, Long Beach, CA, USA",24,4.5,143,,,,,,30,6,2,2,condo,Yes,2014,Within 12 hours,100%,"June 8, 2017",condo,14,1590,6,building,Long Beach,CA
677988,Beautiful By The Beach,33.755928,-118.136151,"Belmont Shore, Long Beach, CA, USA",24,4.3,117,125,150,,,,3,2,1,1,studio,Yes,2015,Within a few days,80%,"June 9, 2017",studio,1,400,2,house,Long Beach,CA
995739ha,Steps Away at Beachside Retreat,33.7648497,-118.1761343,"Alamitos Beach, Long Beach, CA, USA",20,4.8,234,275,,,100,,3,5,2,1,condo,Yes,2006,Within a day,100%,"June 8, 2017",condo,4,850,5,,Long Beach,CA
462633,Luxury Ocean View Condo Downtown Long Beach,33.7667218,-118.1869554,"East Village, Long Beach, CA, USA",33,4.9,153,,,,100,,3,4,1,1,condo,Yes,2013,Within a day,100%,"June 7, 2017",condo,11,1100,4,,Long Beach,CA
4074547ha,"Quincy La Casa-Lrg-Lite-Pet Ok-Prkng-Centrally located-Walk to Beach,Restaurants",33.7602526,-118.1405733,"Belmont Shore, Long Beach, CA, USA",28,,216,225,,,130,,3,5,2,1,apartment,Yes,2015,Within a few hours,100%,"June 9, 2017",apartment,2,1400,5,house,Long Beach,CA
430944,Cozy Beach House in Perfect Location Just Steps From the Water!,33.7567766,-118.1311484,"Belmont Shore, Long Beach, CA, USA",37,4.7,307,250,,,100,12.0%,2,6,2,1,house,Yes,2012,Within a day,100%,"June 8, 2017",house,,,6,,Long Beach,CA
4146976ha,Adorable Naples Island Retreat,33.7568724,-118.1260336,"Naples Island, Long Beach, CA, USA",10,,330,330,350,,175,,3,8,4,3,house,Yes,2016,Within 12 hours,100%,"June 6, 2017",house,,1900,8,,Long Beach,CA
675798,Super Clean & Contemporary Unit,33.79391237,-118.15654765,"Signal Hill, CA, USA",43,4.8,125,125,,,60,,,4,2,2,apartment,Yes,2015,Within an hour,100%,"June 9, 2017",apartment,1,968,4,house,Long Beach,CA
201021,Affordable Family Vacation on the Beach!,33.76481628,-118.17597198,"Alamitos Beach, Long Beach, CA, USA",21,4.8,234,275,,,100,,3,5,2,1,condo,Yes,2006,Within a day,100%,"June 8, 2017",condo,6,800,5,,Long Beach,CA
720082,Family's Paradise With Private Pool! NO LOUD PARTIES!,33.830787,-118.192493,"Los Cerritos, Long Beach, CA, USA",22,4.4,213,200,225,,,,2,15,4,1,house,Yes,2015,Within an hour,100%,"June 6, 2017",house,,2240,15,,Long Beach,CA
603810,"Charming, Stylish and Unique California Arts & Crafts Bungalow",33.777506,-118.151009,"Eastside, Long Beach, CA, USA",28,4.9,153,150,165,,,12.0%,3,4,2,1,bungalow,Yes,2014,Within an hour,100%,"June 7, 2017",bungalow,,700,4,,Long Beach,CA
360437,"Beachfront, Penthouse, Spacious Balcony, Spectacular",33.7648468,-118.1759491,"Alamitos Beach, Long Beach, CA, USA",24,4.6,280,315,,,150,,3,4,2,2,condo,Yes,2006,Within a day,100%,"June 8, 2017",condo,6,950,4,,Long Beach,CA
509616,"Long Beach, Gut renovated 3/2 in very walkable neighborhood",33.771006,-118.158154,"Bluff Heights, Long Beach, CA, USA",27,4.7,200,225,,,120,,3,6,3,2,apartment,Yes,2013,Within a few hours,100%,"June 7, 2017",apartment,1,1600,6,building,Long Beach,CA
510194,Historic Bluff Park Oceanview Villas,33.761286,-118.151807,"Bluff Park, Long Beach, CA, USA",44,4.5,520,195,225,,175,13.0%,,16,4,3,villa,Yes,2014,Within a day,90%,"June 8, 2017",villa,,2030,,,Long Beach,CA
823567,Beautiful Beach Front Villa in Belmont Shores Ca,33.7548611,-118.1325625,"Belmont Shore, Long Beach, CA, USA",10,4.8,490,490,,,200,,3,10,3,2,house,Yes,2015,Within a day,90%,"June 7, 2017",house,,2400,10,,Long Beach,CA
4259761ha,25% OFF OPEN JUNE DATES - XL Relaxation Deck - Endless Ocean Views,33.756392,-118.13805,"Belmont Shore, Long Beach, CA, USA",5,,900,,,,,,3,14,5,4,house,Yes,2005,Within an hour,,"June 9, 2017",house,,6200,14,,Long Beach,CA
754579,Remodeled and ready for adults in the winter,33.77144,-118.149891,"Belmont Heights, Long Beach, CA, USA",2,,100,,,,,,30,4,2,2,condo,Yes,2004,Within a few hours,100%,"May 16, 2017",condo,2,1150,,building,Long Beach,CA
800579,"Bixby Beauty 50s Mod Long Beach, CA",33.833145,-118.180194,"Bixby Knolls, Long Beach, CA, USA",8,,270,300,,,100,,,10,3,2,house,Yes,2015,Within 12 hours,100%,"June 9, 2017",house,,2000,10,,Long Beach,CA
432544,BEACHY CHIC COTTAGE pet friendly steps to beach & restaurants!,33.7573239,-118.135736,"Belmont Shore, Long Beach, CA, USA",35,4.9,272,219,255,,85,,3,5,2,1,house,Yes,2012,Within a day,90%,"June 7, 2017",house,,,5,,Long Beach,CA
3635956ha,Enjoy Your Stay In This Luxury Condo. Premier Location At Long Beach.,33.7667199,-118.186584,"East Village, Long Beach, CA, USA",24,4.6,84,,,,100,,7,4,1,1,condo,Yes,2013,Within a few days,90%,"June 7, 2017",condo,5,500,4,,Long Beach,CA
928831,OCEAN front house with private TENNIS court.,33.7617463,-118.1548423,"Bluff Park, Long Beach, CA, USA",10,4.9,800,700,,,200,9.0%,3,16,5,4,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,3800,16,,Long Beach,CA
775389,Just Remodeled Long Beach Gem (Non-Smokers Only),33.779116,-118.153726,"Zaferia, Long Beach, CA, USA",19,4.1,120,120,135,,125,12.0%,3,6,2,1,apartment,Yes,2015,Within an hour,100%,"June 8, 2017",apartment,1,688,6,building,Long Beach,CA
797967,"Beautiful Home, Prime Location/Large Windows/Beach Community Near Belmont Shore",33.748566,-118.12192,"Peninsula, Long Beach, CA, USA",3,,700,500,,,,,4,8,3,3,house,Yes,2010,Within a few hours,100%,"May 23, 2017",house,,,8,,Long Beach,CA
245404,New Luxury High Rise Ocean View Condo Downtown Long Beach,33.76646042,-118.18649292,"Waterfront, Long Beach, CA, USA",18,4.8,200,,,,,,14,4,2,2,condo,Yes,2009,Within a day,90%,"May 23, 2017",condo,2,1100,4,building,Long Beach,CA
988929,Beautiful newly remodeled Belmont Heights apartment.,33.769439,-118.1477949,"Belmont Heights, Long Beach, CA, USA",6,,129,139,145,,125,,3,2,1,1,apartment,Yes,2006,Within 12 hours,100%,"June 8, 2017",apartment,1,500,,building,Long Beach,CA
4265999ha,"LG-Family Friendly-Belmont Shore area-Walk to Beach, Bay & Eateries-Pets Ok",33.7550767,-118.1240246,"Naples Island, Long Beach, CA, USA",12,4.8,305,305,,,140,,3,8,3,2,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,1750,8,,Long Beach,CA
478306,100 + Year Old Mission Revival Home,33.76542,-118.173538,"Alamitos Beach, Long Beach, CA, USA",48,4.6,286,300,,,200,,3,10,4,2,house,Yes,2013,Within a few hours,100%,"June 8, 2017",house,,3000,10,,Long Beach,CA
251573ha,"'California Dreamin' Ocean Views,*JUNE SPECIAL! Beat the Heat Bargain!",33.743462,-118.112297,"Old Towne, Seal Beach, CA, USA",31,4.9,377,375,,,,12.0%,2,8,3,3,house,Yes,2009,Within 2 days,80%,"June 7, 2017",house,,,8,,Long Beach,CA
429583,"SECURITY, PRIVACY,  YARD and PARKING; ( 4 miles to the Convention center)",33.771415,-118.138041,"Belmont Heights, Long Beach, CA, USA",8,,100,,,,,12.0%,7,4,2,1,apartment,Yes,2012,Within a few days,70%,"June 1, 2017",apartment,1,900,4,house,Long Beach,CA
4252743ha,"Beach House, Steps To Beach,  5 Mins' Walk To Shops.",33.757667,-118.140703,"Belmont Shore, Long Beach, CA, USA",7,,343,280,325,,180,,2,8,3,2,house,Yes,2016,Within a few hours,100%,"June 8, 2017",house,,,8,,Long Beach,CA
7035656ha,Long Beach Ocean View Condo,33.766162,-118.188123,"Waterfront, Long Beach, CA, USA",4,,199,,,,,,7,4,1,1,condo,No,2006,Within a few days,90%,"June 6, 2017",condo,,,4,,Long Beach,CA
890677,Charming Belmont Apartment,33.76784,-118.153051,"Bluff Heights, Long Beach, CA, USA",5,4.8,100,90,,,100,7.0%,2,5,1,1,apartment,Yes,2009,Within an hour,100%,"June 8, 2017",apartment,2,,5,building,Long Beach,CA
897386,"Ocean views of the Pacific Ocean, the Queen Mary. For more info. -951294878",33.76605,-118.187095,"Waterfront, Long Beach, CA, USA",6,,123,,,,,,30,5,2,2,condo,Yes,2016,Within a few hours,90%,"May 27, 2017",condo,6,1080,5,building,Long Beach,CA
235717,Oceanfront Living On Beautiful Peninsula in Long Beach,33.74964905,-118.12625122,"Peninsula, Long Beach, CA, USA",9,4.7,308,295,325,,195,,4,7,3,2,house,Yes,2009,Within a few hours,100%,"June 8, 2017",house,,1400,7,,Long Beach,CA
779664,"A Shore Thing - Long Beach,  Spanish Duplex, Family Friendly with Central Air",33.75760208,-118.13397541,"Belmont Shore, Long Beach, CA, USA",18,4.9,214,225,250,,125,,3,7,2,1,house,Yes,2015,Within an hour,100%,"June 6, 2017",house,,1050,7,,Long Beach,CA
4262659ha,"Nice Vintage Apartament Close To Downtown, Short Walk To Convention Center",33.768867,-118.178382,"Alamitos Beach, Long Beach, CA, USA",5,,95,95,,,,12.0%,3,4,1,1,apartment,Yes,2010,Within an hour,100%,"June 8, 2017",apartment,1,680,4,,Long Beach,CA
414115,"Ocean View Condo in Historic High Rise,  Downtown Long Beach",33.76698303,-118.19623566,"Waterfront, Long Beach, CA, USA",13,4.4,100,,,,45,,7,4,1,1,condo,Yes,2011,Within a few hours,100%,"May 31, 2017",condo,,,4,,Long Beach,CA
3653667ha,Charming Bungalow 1/2 Mile From The Beach,33.770611,-118.168834,"Alamitos Beach, Long Beach, CA, USA",25,4.9,271,285,,,,,3,6,2,1,bungalow,Yes,2013,Within a day,100%,"June 8, 2017",bungalow,,1100,6,,Long Beach,CA
445644,Charming Garden Cottage Near The Beach,33.7690583,-118.13852766,"Belmont Heights, Long Beach, CA, USA",73,4.9,129,129,139,,75,,2,2,1,1,cottage,Yes,2012,Within an hour,100%,"June 8, 2017",cottage,,600,2,,Long Beach,CA
935287,"Sunny Long Beach Retreat ""Garden House""",33.7985231,-118.197818,"Wrigley, Long Beach, CA, USA",6,4.7,64,49,,,47,,2,3,1,1,house,Yes,2014,Within an hour,100%,"June 8, 2017",house,,185,3,,Long Beach,CA
3876386ha,"930 Quiet Studio- Walk Downtown close to Convention Center, and Restaurantes",33.7690096,-118.1811937,"Alamitos Beach, Long Beach, CA, USA",8,4.6,85,86,,,75,12.0%,3,3,1,1,apartment,Yes,2010,Within 12 hours,100%,"June 8, 2017",apartment,1,400,3,,Long Beach,CA
3925758ha,"Amazing 2BR Long Beach Apartment w/Wifi, Private Balcony & Gorgeous Pacific Ocean Views - Walking Distance to the Beach, Aquarium, Restaurants & More!",33.766,-118.187,"Waterfront, Long Beach, CA, USA",28,4.6,243,,,,,,2,5,2,2,apartment,Yes,1999,Within an hour,,"June 9, 2017",apartment,,900,5,,Long Beach,CA
3914159ha,"932 Walking to Convention center/ beach, the pike",33.7690053,-118.1811625,"Alamitos Beach, Long Beach, CA, USA",15,4.5,89,89,,,70,12.0%,3,3,1,1,apartment,Yes,2010,Within a few hours,100%,"June 8, 2017",apartment,1,400,3,building,Long Beach,CA
318394,Belmont Shore Waterfront Vacation Home 1/2 Block to 2nd St Fun,33.7595956,-118.1293604,"Belmont Park, Long Beach, CA, USA",40,,600,550,,,250,,4,10,4,2,house,Yes,2010,Within 12 hours,100%,"June 7, 2017",house,,3100,10,,Long Beach,CA
130945,'Sandy Suite'  Right on The Sand,33.76481628,-118.17597198,"Alamitos Beach, Long Beach, CA, USA",18,4.6,197,199,,,99,,2,2,1,1,condo,Yes,2006,Within 2 days,90%,"June 8, 2017",condo,,,2,building,Long Beach,CA
405568,"Just say ""aaaahhh"" Adorable Cottage in Belmont Shore, Walk to Beach & Restaurant",33.75898361,-118.13423157,"Belmont Shore, Long Beach, CA, USA",4,,316,350,,,,,4,5,2,1,house,Yes,2012,Within a few hours,100%,"June 6, 2017",house,,1000,5,,Long Beach,CA
924148,Premier downtown Long Beach luxury  highrise 2 bdr 2 bath condo,33.7664948,-118.1969167,"Waterfront, Long Beach, CA, USA",0,,117,117,,,150,,30,4,2,2,condo,No,2013,Within a day,90%,"May 28, 2017",condo,,,,,Long Beach,CA
1038658,Large & sunny luxury apartment home two blocks from beach!,33.763669,-118.152059,"Bluff Park, Long Beach, CA, USA",6,4.8,130,130,,,95,,2,4,1,1,apartment,Yes,2017,Within 12 hours,100%,"June 7, 2017",apartment,2,900,,building,Long Beach,CA
661205,Peninsula Hideaway Apartment • Alamitos Bay,33.748008,-118.1207233,"Peninsula, Long Beach, CA, USA",6,4.8,208,200,,,75,,5,4,2,1,apartment,Yes,2014,Within 12 hours,100%,"June 1, 2017",apartment,2,900,4,building,Long Beach,CA
696285,Extra Large Master Bedroom With Your Private Bathroom,33.812311,-118.118851,"South of Conant, Long Beach, CA, USA",9,4.4,83,80,,,38,,3,2,1,1,house,Yes,2015,Within an hour,100%,"June 7, 2017",house,,600,2,,Long Beach,CA
968590,Cute Beach Getaway Long Beach CA,33.7557721,-118.1365888,"Belmont Shore, Long Beach, CA, USA",5,4.8,133,129,,,60,,3,4,1,1,apartment,Yes,2016,Within 12 hours,100%,"June 5, 2017",apartment,2,600,4,building,Long Beach,CA
705296,"LOCATION, LOCATION!-Spacious, Well-Appointed Retreat in Beautiful Belmont Height",33.7691116,-118.13836465,"Belmont Heights, Long Beach, CA, USA",44,,149,149,159,,79,,2,2,1,1,apartment,Yes,2012,Within an hour,100%,"June 8, 2017",apartment,2,1300,,house,Long Beach,CA
4079269ha,"20 Minutes Walking Distance To Convention Center Or Down Town, Or Beach",33.768826,-118.181262,"Alamitos Beach, Long Beach, CA, USA",17,4.7,114,115,,,95,12.0%,3,6,2,1,house,Yes,2010,Within a few hours,100%,"June 7, 2017",house,,1200,,,Long Beach,CA
611905,Luxury 1br in Coastal Downtown Long Beach,33.7660905,-118.1879251,"Waterfront, Long Beach, CA, USA",16,4.8,96,,,,,,28,3,1,1,condo,Yes,2014,Within a day,90%,"May 19, 2017",condo,,750,3,building,Long Beach,CA
921442,"Spacious 2Bd/2Ba Condo Near Convention Center and Beach, 2 Gated Parking Spaces",33.7679292,-118.1737166,"Alamitos Beach, Long Beach, CA, USA",8,,183,185,,,125,15.0%,3,5,2,2,condo,Yes,2016,Within an hour,100%,"June 8, 2017",condo,2,1222,5,building,Long Beach,CA
4526242ha,"743 Court House/convention Center/ Down Town, All In Walking Distance",,,"Willmore, Long Beach, CA, USA",0,,75,75,,,85,,3,4,2,1,apartment,Yes,2010,Within 12 hours,100%,"June 2, 2017",apartment,1,800,,,Long Beach,CA
950927,Cozy Retreat In Sunny Long Beach!,,,"Wrigley, Long Beach, CA, USA",3,4.3,96,84,,,89,,2,6,2,1,house,No,2014,Within an hour,100%,"June 8, 2017",house,,,,,Long Beach,CA
4349059ha,**3Bedroom/2Bathroom Unit Walk to Convention Center and many other attractions,,,"Waterfront, Long Beach, CA, USA",3,4.7,305,250,,,125,,2,9,3,2,apartment,Yes,2016,Within a day,90%,"June 7, 2017",apartment,2,1310,9,building,Long Beach,CA
3650087ha,"Walking to beach/convention center, Down Town, The Pike, All is close walking",33.7686938,-118.1785498,"Alamitos Beach, Long Beach, CA, USA",21,4.3,135,135,,,95,12.0%,3,5,2,1,apartment,Yes,2010,Within a few hours,100%,"June 4, 2017",apartment,2,800,5,,Long Beach,CA
1038589,Panoramic Ocean View Corner Unit 2/2,,,"Alamitos Beach, Long Beach, CA, USA",0,,171,199,,,100,,3,4,2,2,condo,No,2017,Within 12 hours,90%,"June 4, 2017",condo,,,,,Long Beach,CA
761335,Beautiful Bedroom And Bath/Street Parking/Walk To Metro/,33.799637,-118.196652,"Wrigley, Long Beach, CA, USA",4,4.8,79,85,,,50,9.75%,,2,1,1,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,,2,,Long Beach,CA
909777,Casita de las Brisas,,,"Belmont Shore, Long Beach, CA, USA",5,4.8,235,225,250,,125,,2,5,2,2,house,Yes,2016,Within a day,100%,"May 29, 2017",house,,,5,,Long Beach,CA
653758,Beautifully appointed 1920s Spanish style casita located behind the house.,33.7582158,-118.1336035,"Belmont Shore, Long Beach, CA, USA",21,4.9,143,140,150,,60,,2,2,Studio,1,studio,Yes,2014,Within an hour,100%,"June 8, 2017",studio,2,350,2,,Long Beach,CA
556560,Marina View  Condo/Loft For Rent,33.759619,-118.116591,"Marina Pacifica, Long Beach, CA, USA",0,,113,,,,,,30,4,2,1,condo,Yes,2014,Within 2 days,90%,"February 1, 2017",condo,3,,4,,Long Beach,CA
862985,"Spacious Mid Century Modern Home with Projection Wall and NOW, Air Conditioning!",33.811241,-118.126775,"South of Conant, Long Beach, CA, USA",6,4.8,276,249,299,,,,2,9,3,2,house,Yes,2016,Within 12 hours,100%,"May 31, 2017",house,,1300,9,,Long Beach,CA
280444,PERFECT! NEW DT LB Condo 2Bed/2Bath Views/Sunny/Balcony/ Pool/Gym/BEST BUILDING!,33.76615906,-118.19686127,"Waterfront, Long Beach, CA, USA",34,,130,,,,175,,30,4,2,2,condo,Yes,2009,Within a few hours,100%,"May 27, 2017",condo,2,1050,4,,Long Beach,CA
212974,Direct Ocean View - Beach Front Condo,33.76443481,-118.17127228,"Alamitos Beach, Long Beach, CA, USA",30,4.6,103,,,,90,,29,4,1,1,condo,Yes,2008,Within a few days,66%,"May 15, 2017",condo,,,,,Long Beach,CA
852140,Belmont Manor – The Ultimate Hilltop Location!,33.7646206,-118.139637,"Belmont Heights, Long Beach, CA, USA",2,,414,420,,,,,4,8,3,2,house,Yes,2015,Within 12 hours,90%,"June 4, 2017",house,,2500,8,,Long Beach,CA
320282,Spectaculiar Ocean AND City Views! 100+ Guestbook comments in Owners profile !,33.76616287,-118.18812561,"Waterfront, Long Beach, CA, USA",20,4.9,200,200,,,125,,3,7,2,2,condo,Yes,2010,Within 2 days,80%,"June 7, 2017",condo,,,7,,Long Beach,CA
3244152ha,Unique 2BR Long Beach House w/Garden,33.846438,-118.195084,"North Long Beach, Long Beach, CA, USA",11,4.7,257,,,,,,3,6,2,2,villa,Yes,1999,Within an hour,,"June 9, 2017",villa,,,6,,Long Beach,CA
432272,BELMONT SHORE VACATION STATION,33.7576374,-118.138041,"Belmont Shore, Long Beach, CA, USA",34,4.4,121,135,,,65,9.5%,2,2,Studio,1,apartment,Yes,2012,Within 2 days,80%,"June 8, 2017",apartment,,,2,,Long Beach,CA
624054,Spacious Flat W Wsh/dry,33.7680935,-118.180354,"Alamitos Beach, Long Beach, CA, USA",13,4.1,116,109,119,,,5.0%,,5,1,1,apartment,Yes,2014,Within 12 hours,80%,"June 9, 2017",apartment,2,900,5,,Long Beach,CA
3993649ha,"Nearby Historic 4th St, Quaint Coffeshop Living, Walk or Ride--MONTHLY REZ ONLY!",33.7787917,-118.1616446,"Zaferia, Long Beach, CA, USA",1,,85,,,,170,12.0%,30,5,2,2,condo,Yes,2015,Within 2 days,100%,"June 8, 2017",condo,2,1000,5,building,Long Beach,CA
990661,Resort Style Living Steps To Beach And Convention Center With Rooftop Pool,,,"East Village, Long Beach, CA, USA",2,,345,329,499,,99,8.9%,2,5,2,2,apartment,Yes,2007,Within 12 hours,90%,"June 7, 2017",apartment,14,1200,5,building,Long Beach,CA
950312,"Ocean view, beach front condo-walking distance to some of the best of Long Beach",33.7654804,-118.1782972,"Alamitos Beach, Long Beach, CA, USA",0,,152,125,,,100,,30,3,1,1,condo,Yes,2016,Within 12 hours,100%,"May 29, 2017",condo,2,700,,building,Long Beach,CA
596361,"Large Home On Budget - Historic, Tree-Lined Street",33.820486,-118.180934,"Cal Heights, Long Beach, CA, USA",9,4.8,250,250,300,,,,2,8,4,3,house,Yes,2014,Within 12 hours,100%,"May 2, 2017",house,,1900,8,,Long Beach,CA
3619073ha,"Walking distance to Convention Center, beach, Down Town",33.7686764,-118.1784123,"Alamitos Beach, Long Beach, CA, USA",11,,95,95,,,85,12.0%,3,4,Studio,1,apartment,Yes,2010,Within an hour,100%,"June 7, 2017",apartment,1,800,4,,Long Beach,CA
4483607ha,Craftsman studio block to Beach,,,"Alamitos Beach, Long Beach, CA, USA",1,,75,75,,,25,,3,2,1,1,cottage,No,2017,Within a day,100%,"May 16, 2017",cottage,,,,,Long Beach,CA
245415ha,A Stunning Pied-A-Terre in Belmont Shore,33.7628636,-118.1375757,"Belmont Shore, Long Beach, CA, USA",39,4.9,133,125,175,,,,4,3,1,1,apartment,Yes,2009,Within a few hours,100%,"June 8, 2017",apartment,2,670,3,house,Long Beach,CA
460891,'MAISON de FLEURS' BELMONT SHORE . . . COTTAGE BY THE SEA,33.7611058,-118.1349956,"Belmont Shore, Long Beach, CA, USA",60,,368,300,,,150,,3,6,3,2,house,Yes,2013,Within an hour,100%,"May 30, 2017",house,,1200,6,,Long Beach,CA
855109,"40 RV on Wheels, very spacious",33.795978,-118.178761,"Long Beach, CA, USA",7,4.9,75,50,65,,10,12.0%,1,2,1,1,recreational vehicle,Yes,2016,Within a few hours,100%,"June 7, 2017",recreational vehicle,,400,2,,Long Beach,CA
